country,year,mean_temp,mean_temp_c
LUX,1992,41.19047619047619,5
NLD,1992,45.801923076923075,8
PRT,1992,51.698412698412696,11
SWE,1992,36.23809523809524,2
AUT,1993,41.046875,5
BEL,1993,43.76923076923077,7
DEU,1993,40.77358490566038,5
DNK,1993,41.78846153846154,5
ESP,1993,55.54305912596401,13
FIN,1993,29.19607843137255,-2
FRA,1993,48.56805074971165,9
GBR,1993,44.73098330241187,7
GRC,1993,65.20192307692308,18
IRL,1993,46.15811965811966,8
ITA,1993,55.03273137697517,13
LUX,1993,40.76923076923077,5
NLD,1993,43.253846153846155,6
PRT,1993,58.36904761904762,15
SWE,1993,33.87258687258687,1
AUT,1994,45.38423028785982,7
BEL,1994,50,10
DEU,1994,48.855472901168966,9
DNK,1994,44.976190476190474,7
ESP,1994,58.85639229422067,15
FIN,1994,36.13667232597623,2
FRA,1994,52.97672686650531,12
GBR,1994,45.835412953060015,8
GRC,1994,61.5086887835703,16
IRL,1994,47.51984126984127,9
ITA,1994,53.91339696005656,12
LUX,1994,48.75,9
NLD,1994,49.96783625730994,10
PRT,1994,58.67686424474187,15
SWE,1994,39.943820224719104,4
AUT,1995,28.9331983805668,-2
AUT,1996,28.14074074074074,-2
BEL,1995,38.3921568627451,4
BEL,1996,41.46666666666667,5
DEU,1995,32.382716049382715,0
DEU,1996,30.365384615384617,-1
DNK,1995,32.5,0
DNK,1996,30.933333333333334,-1
ESP,1995,54.01080715974333,12
ESP,1996,53.410537870472005,12
FIN,1995,13.982428115015974,-10
FIN,1996,19.798780487804876,-7
FRA,1995,43.48657616892911,6
FRA,1996,45.5364238410596,8
GBR,1995,41.25197628458498,5
GBR,1996,45.24814814814815,7
GRC,1995,53.35204081632653,12
GRC,1996,50.78095238095238,10
IRL,1995,43.73202614379085,7
IRL,1996,47.82222222222222,9
ITA,1995,44.71238938053097,7
ITA,1996,44.53636363636364,7
LUX,1995,35.333333333333336,2
LUX,1996,34.86666666666667,2
NLD,1995,37.52466367713004,3
NLD,1996,37.044444444444444,3
PRT,1995,56.76797385620915,14
PRT,1996,55.611111111111114,13
SWE,1995,22.18421052631579,-5
SWE,1996,23.59259259259259,-5
AUT,1996,23.029268292682925,-5
BEL,1996,34.292682926829265,1
DEU,1996,28.407460545193686,-2
DNK,1996,27.28048780487805,-3
ESP,1996,48.487883107626516,9
FIN,1996,12.328330206378986,-11
FRA,1996,38.92479602695992,4
GBR,1996,38.37296037296037,4
GRC,1996,48.146341463414636,9
IRL,1996,40.68563685636856,5
ITA,1996,38.7191097467383,4
LUX,1996,30.951219512195124,-1
NLD,1996,32.42439024390244,0
PRT,1996,50.99186991869919,11
SWE,1996,18.792792792792792,-7
AUT,1997,35.48571428571429,2
DEU,1997,43.43571428571428,6
DNK,1997,38.55200860832137,4
ESP,1997,58.123493975903614,15
FIN,1997,33.714285714285715,1
FRA,1997,51.41847041847042,11
GBR,1997,45.49640287769784,7
GRC,1997,52.48571428571429,11
IRL,1997,45.04517599203497,7
ITA,1997,39.15714285714286,4
LUX,1997,46.05714285714286,8
NLD,1997,42.9572931611669,6
PRT,1997,57.22857142857143,14
SWE,1997,40.714285714285715,5
AUT,1998,47.699438202247194,9
BEL,1998,54.28,12
DEU,1998,51.78823529411765,11
DNK,1998,49.8235294117647,10
ESP,1998,58.92740683229814,15
FIN,1998,38.84735812133072,4
FRA,1998,55.4836670179136,13
GBR,1998,48.725341426403645,9
GRC,1998,63.89915966386555,18
IRL,1998,49.40471512770137,10
ITA,1998,54.237868696479545,12
LUX,1998,52.294117647058826,11
NLD,1998,53.490196078431374,12
PRT,1998,58.971302428256074,15
SWE,1998,41.45343137254902,5
AUT,1999,41.88709677419355,5
DEU,1999,44.83064516129032,7
DNK,1999,50.54951980792317,10
ESP,1999,57.775956284153004,14
FIN,1999,38.33870967741935,4
FRA,1999,52.58469945355191,11
GBR,1999,49.91935483870968,10
GRC,1999,62.69892473118279,17
IRL,1999,49.278888176095585,10
ITA,1999,49.903225806451616,10
LUX,1999,45.064516129032256,7
NLD,1999,53.804281712685075,12
SWE,1999,42.41935483870968,6
AUT,2000,51.307377049180324,11
BEL,2000,55.285714285714285,13
DEU,2000,54.11063372717508,12
DNK,2000,51.275510204081634,11
ESP,2000,59.80851812741992,15
FIN,2000,41.68758526603001,5
FRA,2000,55.482215743440236,13
GBR,2000,48.34013605442177,9
GRC,2000,64.37851662404093,18
IRL,2000,49.1530612244898,10
ITA,2000,58.6047138047138,15
LUX,2000,54.40816326530612,12
NLD,2000,54.118367346938776,12
PRT,2000,58.291280148423006,15
SWE,2000,44.63079777365492,7
